elapsed_s,wall,ps_app_uid,cgroup_phantom,app_pid,proot_pid,busybox,ams_phantom_records,guest_last
0,20:43:21,51,51,7259,7386,49,0,"[GUEST] GUEST_SPAWNED=48"
20,20:43:42,52,51,7259,7386,50,0,"[GUEST] GUEST_ALIVE=48/48 ts=1789476218"
40,20:44:02,32,31,7259,none,31,31,"[PHANTOM] PROOT_EXIT=137 after 29s"
60,20:44:22,32,31,7259,none,31,31,""
80,20:44:43,32,31,7259,none,31,31,""
100,20:45:03,32,31,7259,none,31,31,""
120,20:45:21,32,31,7259,none,31,31,""
140,20:45:41,32,31,7259,none,31,31,""
160,20:46:02,32,31,7259,none,31,31,""
180,20:46:22,32,31,7259,none,31,31,""
200,20:46:43,32,31,7259,none,31,31,""
220,20:47:01,32,31,7259,none,31,31,""
240,20:47:22,32,31,7259,none,31,31,""
260,20:47:42,32,31,7259,none,31,31,""
280,20:48:02,32,31,7259,none,31,31,""
300,20:48:22,32,31,7259,none,31,31,""
320,20:48:42,32,31,7259,none,31,31,""
340,20:49:02,32,31,7259,none,31,31,""
360,20:49:22,32,31,7259,none,31,31,""
380,20:49:42,32,31,7259,none,31,31,""
400,20:50:02,32,31,7259,none,31,31,""
420,20:50:22,32,31,7259,none,31,31,""
440,20:50:42,31,30,7259,none,30,31,""
460,20:51:02,31,30,7259,none,30,31,""
480,20:51:22,31,30,7259,none,30,31,""
500,20:51:42,31,30,7259,none,30,31,""
520,20:52:02,31,30,7259,none,30,31,""
540,20:52:23,31,30,7259,none,30,31,""
560,20:52:42,31,30,7259,none,30,31,""
580,20:53:02,31,30,7259,none,30,31,""
600,20:53:22,31,30,7259,none,30,31,""
