09-15 21:30:48.868  3125  3140 I am_kill : [0,32400,com.hihonor.wallet,999,empty #81,156896]
09-15 21:34:32.126  3125  3213 I am_kill : [0,13684,com.hypergryph.skland,0,Trimming phantom processes,45404]
09-15 21:34:32.126  3125  3213 I am_kill : [0,23336,libproot.so,0,Trimming phantom processes,4648]
09-15 21:34:32.127  3125  3213 I am_kill : [0,23377,busybox,0,Trimming phantom processes,3956]
09-15 21:34:32.127  3125  3213 I am_kill : [0,23425,busybox,0,Trimming phantom processes,4352]
09-15 21:34:32.127  3125  3213 I am_kill : [0,23432,busybox,0,Trimming phantom processes,4096]
09-15 21:34:32.127  3125  3213 I am_kill : [0,23434,busybox,0,Trimming phantom processes,3840]
09-15 21:34:32.127  3125  3213 I am_kill : [0,23437,busybox,0,Trimming phantom processes,4092]
09-15 21:34:32.127  3125  3213 I am_kill : [0,23438,busybox,0,Trimming phantom processes,4224]
09-15 21:34:32.127  3125  3213 I am_kill : [0,23440,busybox,0,Trimming phantom processes,4096]
09-15 21:34:32.127  3125  3213 I am_kill : [0,23441,busybox,0,Trimming phantom processes,3836]
09-15 21:34:32.127  3125  3213 I am_kill : [0,23443,busybox,0,Trimming phantom processes,4216]
09-15 21:34:32.127  3125  3213 I am_kill : [0,23444,busybox,0,Trimming phantom processes,4220]
09-15 21:34:32.127  3125  3213 I am_kill : [0,23445,busybox,0,Trimming phantom processes,4224]
09-15 21:34:32.127  3125  3213 I am_kill : [0,23447,busybox,0,Trimming phantom processes,4352]
09-15 21:34:32.127  3125  3213 I am_kill : [0,23448,busybox,0,Trimming phantom processes,4352]
09-15 21:34:32.127  3125  3213 I am_kill : [0,23450,busybox,0,Trimming phantom processes,4092]
09-15 21:34:32.127  3125  3213 I am_kill : [0,23452,busybox,0,Trimming phantom processes,3968]
09-15 21:34:32.128  3125  3213 I am_kill : [0,23453,busybox,0,Trimming phantom processes,3968]
09-15 21:34:32.128  3125  3213 I am_kill : [0,23455,busybox,0,Trimming phantom processes,4096]
09-15 21:34:32.128  3125  3213 I am_kill : [0,23463,busybox,0,Trimming phantom processes,4224]
