09-15 21:30:48.867  3125  3140 I ActivityManager: Killing 32400:com.hihonor.wallet/u0a59 (adj 999): empty #81
09-15 21:34:32.126  3125  3213 I ActivityManager: Killing PhantomProcessRecord {5bb5584 13684:13641:com.hypergryph.skland/u0a158}: Trimming phantom processes
09-15 21:34:32.126  3125  3213 I ActivityManager: Killing PhantomProcessRecord {a02d784 23336:23249:libproot.so/u0a301}: Trimming phantom processes
09-15 21:34:32.126  3125  3213 I ActivityManager: Killing PhantomProcessRecord {4f82b6d 23377:23249:busybox/u0a301}: Trimming phantom processes
09-15 21:34:32.127  3125  3213 I ActivityManager: Killing PhantomProcessRecord {e33e3a2 23425:23249:busybox/u0a301}: Trimming phantom processes
09-15 21:34:32.127  3125  3213 I ActivityManager: Killing PhantomProcessRecord {cbf7833 23432:23249:busybox/u0a301}: Trimming phantom processes
09-15 21:34:32.127  3125  3213 I ActivityManager: Killing PhantomProcessRecord {e97e7f0 23434:23249:busybox/u0a301}: Trimming phantom processes
09-15 21:34:32.127  3125  3213 I ActivityManager: Killing PhantomProcessRecord {2f91169 23437:23249:busybox/u0a301}: Trimming phantom processes
09-15 21:34:32.127  3125  3213 I ActivityManager: Killing PhantomProcessRecord {79097ee 23438:23249:busybox/u0a301}: Trimming phantom processes
09-15 21:34:32.127  3125  3213 I ActivityManager: Killing PhantomProcessRecord {6ef648f 23440:23249:busybox/u0a301}: Trimming phantom processes
09-15 21:34:32.127  3125  3213 I ActivityManager: Killing PhantomProcessRecord {a2b931c 23441:23249:busybox/u0a301}: Trimming phantom processes
09-15 21:34:32.127  3125  3213 I ActivityManager: Killing PhantomProcessRecord {f085b25 23443:23249:busybox/u0a301}: Trimming phantom processes
09-15 21:34:32.127  3125  3213 I ActivityManager: Killing PhantomProcessRecord {5f244fa 23444:23249:busybox/u0a301}: Trimming phantom processes
09-15 21:34:32.127  3125  3213 I ActivityManager: Killing PhantomProcessRecord {c87baab 23445:23249:busybox/u0a301}: Trimming phantom processes
09-15 21:34:32.127  3125  3213 I ActivityManager: Killing PhantomProcessRecord {becc508 23447:23249:busybox/u0a301}: Trimming phantom processes
09-15 21:34:32.127  3125  3213 I ActivityManager: Killing PhantomProcessRecord {40884a1 23448:23249:busybox/u0a301}: Trimming phantom processes
09-15 21:34:32.127  3125  3213 I ActivityManager: Killing PhantomProcessRecord {58fb6c6 23450:23249:busybox/u0a301}: Trimming phantom processes
09-15 21:34:32.127  3125  3213 I ActivityManager: Killing PhantomProcessRecord {b055687 23452:23249:busybox/u0a301}: Trimming phantom processes
09-15 21:34:32.128  3125  3213 I ActivityManager: Killing PhantomProcessRecord {50d29b4 23453:23249:busybox/u0a301}: Trimming phantom processes
09-15 21:34:32.128  3125  3213 I ActivityManager: Killing PhantomProcessRecord {e87c9dd 23455:23249:busybox/u0a301}: Trimming phantom processes
09-15 21:34:32.128  3125  3213 I ActivityManager: Killing PhantomProcessRecord {d407952 23463:23249:busybox/u0a301}: Trimming phantom processes
09-15 21:34:32.128  3125  3215 I ActivityManager: Process PhantomProcessRecord {a02d784 23336:23249:libproot.so/u0a301} died
09-15 21:34:32.129  3125  3215 I ActivityManager: Process PhantomProcessRecord {f085b25 23443:23249:busybox/u0a301} died
09-15 21:34:32.129  3125  3215 I ActivityManager: Process PhantomProcessRecord {e97e7f0 23434:23249:busybox/u0a301} died
09-15 21:34:32.129  3125  3215 I ActivityManager: Process PhantomProcessRecord {becc508 23447:23249:busybox/u0a301} died
09-15 21:34:32.129  3125  3215 I ActivityManager: Process PhantomProcessRecord {79097ee 23438:23249:busybox/u0a301} died
09-15 21:34:32.130  3125  3215 I ActivityManager: Process PhantomProcessRecord {2f91169 23437:23249:busybox/u0a301} died
09-15 21:34:32.130  3125  3215 I ActivityManager: Process PhantomProcessRecord {c87baab 23445:23249:busybox/u0a301} died
09-15 21:34:32.131  3125  3215 I ActivityManager: Process PhantomProcessRecord {4f82b6d 23377:23249:busybox/u0a301} died
09-15 21:34:32.131  3125  3215 I ActivityManager: Process PhantomProcessRecord {e33e3a2 23425:23249:busybox/u0a301} died
09-15 21:34:32.131  3125  3215 I ActivityManager: Process PhantomProcessRecord {50d29b4 23453:23249:busybox/u0a301} died
09-15 21:34:32.131  3125  3215 I ActivityManager: Process PhantomProcessRecord {58fb6c6 23450:23249:busybox/u0a301} died
09-15 21:34:32.131  3125  3215 I ActivityManager: Process PhantomProcessRecord {e87c9dd 23455:23249:busybox/u0a301} died
09-15 21:34:32.131  3125  3215 I ActivityManager: Process PhantomProcessRecord {d407952 23463:23249:busybox/u0a301} died
09-15 21:34:32.131  3125  3215 I ActivityManager: Process PhantomProcessRecord {a2b931c 23441:23249:busybox/u0a301} died
09-15 21:34:32.131  3125  3215 I ActivityManager: Process PhantomProcessRecord {cbf7833 23432:23249:busybox/u0a301} died
09-15 21:34:32.131  3125  3215 I ActivityManager: Process PhantomProcessRecord {5f244fa 23444:23249:busybox/u0a301} died
09-15 21:34:32.131  3125  3215 I ActivityManager: Process PhantomProcessRecord {40884a1 23448:23249:busybox/u0a301} died
09-15 21:34:32.131  3125  3215 I ActivityManager: Process PhantomProcessRecord {6ef648f 23440:23249:busybox/u0a301} died
09-15 21:34:32.131  3125  3215 I ActivityManager: Process PhantomProcessRecord {b055687 23452:23249:busybox/u0a301} died
09-15 21:34:32.140  3125  3215 I ActivityManager: Process PhantomProcessRecord {5bb5584 13684:13641:com.hypergryph.skland/u0a158} died
09-15 21:34:38.285  3125  3215 I ActivityManager: Process PhantomProcessRecord {50d260d 916:23249:busybox/u0a301} died
