elapsed_s,wall,ps_app_uid,cgroup_phantom,app_pid,proot_pid,busybox,ams_phantom_records,guest_last
0,21:30:05,52,51,23249,23336,50,1,"[GUEST] GUEST_SPAWNED=48"
20,21:30:24,52,51,23249,23336,50,1,"[GUEST] GUEST_ALIVE=48/48 ts=1789479021"
40,21:30:44,52,51,23249,23336,50,1,"[GUEST] GUEST_ALIVE=48/48 ts=1789479037"
60,21:31:04,52,51,23249,23336,50,1,"[GUEST] GUEST_ALIVE=48/48 ts=1789479053"
80,21:31:24,52,51,23249,23336,50,1,"[GUEST] GUEST_ALIVE=48/48 ts=1789479069"
100,21:31:44,52,51,23249,23336,50,1,"[GUEST] GUEST_ALIVE=48/48 ts=1789479101"
120,21:32:04,52,51,23249,23336,50,1,"[GUEST] GUEST_ALIVE=48/48 ts=1789479118"
140,21:32:25,52,51,23249,23336,50,1,"[GUEST] GUEST_ALIVE=48/48 ts=1789479134"
160,21:32:45,52,51,23249,23336,49,1,"[GUEST] GUEST_ALIVE=48/48 ts=1789479150"
180,21:33:05,52,51,23249,23336,50,1,"[GUEST] GUEST_ALIVE=48/48 ts=1789479182"
200,21:33:25,52,51,23249,23336,50,1,"[GUEST] GUEST_ALIVE=48/48 ts=1789479198"
220,21:33:45,52,51,23249,23336,50,1,"[GUEST] GUEST_ALIVE=48/48 ts=1789479214"
240,21:34:05,52,51,23249,23336,50,1,"[GUEST] GUEST_ALIVE=48/48 ts=1789479230"
260,21:34:25,52,51,23249,23336,50,1,"[GUEST] GUEST_ALIVE=48/48 ts=1789479263"
280,21:34:44,32,31,23249,none,31,31,"[PHANTOM] PROOT_EXIT=137 after 267s"
300,21:35:04,32,31,23249,none,31,31,""
320,21:35:24,32,31,23249,none,31,31,""
340,21:35:44,32,31,23249,none,31,31,""
360,21:36:04,32,31,23249,none,31,31,""
380,21:36:24,32,31,23249,none,31,31,""
400,21:36:46,32,31,23249,none,31,31,""
420,21:37:05,32,31,23249,none,31,31,""
440,21:37:25,32,31,23249,none,31,31,""
460,21:37:45,32,31,23249,none,31,31,""
480,21:38:05,32,31,23249,none,31,31,""
500,21:38:25,32,31,23249,none,31,31,""
520,21:38:45,32,31,23249,none,31,31,""
540,21:39:05,32,31,23249,none,31,31,""
560,21:39:25,32,31,23249,none,31,31,""
580,21:39:45,32,31,23249,none,31,31,""
600,21:40:05,32,31,23249,none,31,31,""
