elapsed_s,wall,ps_app_uid,cgroup_phantom,app_pid,proot_pid,busybox,ams_phantom_records,guest_last
0,20:53:35,52,51,12377,12452,50,1,"[GUEST] GUEST_SPAWNED=48"
15,20:53:51,52,51,12377,12452,50,1,"[GUEST] GUEST_ALIVE=48/48 ts=1789476815"
30,20:54:04,52,51,12377,12452,50,1,"[GUEST] GUEST_ALIVE=48/48 ts=1789476831"
45,20:54:20,52,51,12377,12452,50,1,"[GUEST] GUEST_ALIVE=48/48 ts=1789476847"
60,20:54:34,52,51,12377,12452,50,1,"[GUEST] GUEST_ALIVE=48/48 ts=1789476863"
90,20:55:04,52,51,12377,12452,50,1,"[GUEST] GUEST_ALIVE=48/48 ts=1789476895"
390,21:00:04,52,51,12377,12452,50,1,"[GUEST] GUEST_ALIVE=48/48 ts=1789477200"
690,21:05:04,52,51,12377,12452,50,1,"[GUEST] GUEST_ALIVE=48/48 ts=1789477488"
990,21:10:04,52,51,12377,12452,50,1,"[GUEST] GUEST_ALIVE=48/48 ts=1789477791"
1290,21:15:04,52,51,12377,12452,50,1,"[GUEST] GUEST_ALIVE=48/48 ts=1789478094"
1590,21:20:05,52,51,12377,12452,50,1,"[GUEST] GUEST_ALIVE=48/48 ts=1789478394"
1890,21:25:05,52,51,12377,12452,50,1,"[GUEST] GUEST_ALIVE=48/48 ts=1789478693"
2100,21:28:35,52,51,12377,12452,50,1,"[GUEST] GUEST_ALIVE=48/48 ts=1789478913"
