elapsed_s,wall,ps_app_uid,cgroup_phantom,app_pid,proot_pid,busybox,ams_phantom_records,guest_last
0,21:47:29,17,50,32612,32696,50,0,"[GUEST] GUEST_SPAWNED=48"
15,21:47:45,52,51,32612,32696,50,0,"[GUEST] GUEST_ALIVE=48/48 ts=1789480050"
30,21:48:00,52,51,32612,32696,50,0,"[GUEST] GUEST_ALIVE=48/48 ts=1789480066"
45,21:48:14,52,51,32612,32696,50,0,"[GUEST] GUEST_ALIVE=48/48 ts=1789480082"
60,21:48:29,52,51,32612,32696,50,0,"[GUEST] GUEST_ALIVE=48/48 ts=1789480098"
120,21:49:30,52,51,32612,32696,50,1,"[GUEST] GUEST_ALIVE=48/48 ts=1789480162"
180,21:50:29,52,51,32612,32696,50,51,"[GUEST] GUEST_ALIVE=48/48 ts=1789480227"
240,21:51:30,52,49,32612,32696,48,50,""
300,21:52:29,50,49,32612,32696,48,50,""
360,21:53:30,50,49,32612,32696,48,50,""
420,21:54:30,50,49,32612,32696,48,50,""
