09-15 21:54:44.266  3125  3213 I ActivityManager: Killing PhantomProcessRecord {b52e2cb 22042:21982:com.hypergryph.skland/u0a158}: Trimming phantom processes
09-15 21:54:44.267  3125  3213 I ActivityManager: Killing PhantomProcessRecord {6353de6 10999:10866:libproot.so/u0a301}: Trimming phantom processes
09-15 21:54:44.267  3125  3213 I ActivityManager: Killing PhantomProcessRecord {36b9f27 11009:10866:busybox/u0a301}: Trimming phantom processes
09-15 21:54:44.267  3125  3213 I ActivityManager: Killing PhantomProcessRecord {e7ad5d4 11045:10866:busybox/u0a301}: Trimming phantom processes
09-15 21:54:44.267  3125  3213 I ActivityManager: Killing PhantomProcessRecord {d6bd37d 11046:10866:busybox/u0a301}: Trimming phantom processes
09-15 21:54:44.267  3125  3213 I ActivityManager: Killing PhantomProcessRecord {1075272 11048:10866:busybox/u0a301}: Trimming phantom processes
09-15 21:54:44.267  3125  3213 I ActivityManager: Killing PhantomProcessRecord {16906c3 11051:10866:busybox/u0a301}: Trimming phantom processes
09-15 21:54:44.267  3125  3213 I ActivityManager: Killing PhantomProcessRecord {7997b40 11052:10866:busybox/u0a301}: Trimming phantom processes
09-15 21:54:44.267  3125  3213 I ActivityManager: Killing PhantomProcessRecord {3672a79 11055:10866:busybox/u0a301}: Trimming phantom processes
09-15 21:54:44.267  3125  3213 I ActivityManager: Killing PhantomProcessRecord {47423be 11056:10866:busybox/u0a301}: Trimming phantom processes
09-15 21:54:44.268  3125  3213 I ActivityManager: Killing PhantomProcessRecord {b4b4c1f 11058:10866:busybox/u0a301}: Trimming phantom processes
09-15 21:54:44.268  3125  3213 I ActivityManager: Killing PhantomProcessRecord {f3b0b6c 11061:10866:busybox/u0a301}: Trimming phantom processes
09-15 21:54:44.268  3125  3213 I ActivityManager: Killing PhantomProcessRecord {b26f535 11062:10866:busybox/u0a301}: Trimming phantom processes
09-15 21:54:44.268  3125  3213 I ActivityManager: Killing PhantomProcessRecord {a4abdca 11063:10866:busybox/u0a301}: Trimming phantom processes
09-15 21:54:44.268  3125  3213 I ActivityManager: Killing PhantomProcessRecord {be28b3b 11065:10866:busybox/u0a301}: Trimming phantom processes
09-15 21:54:44.268  3125  3213 I ActivityManager: Killing PhantomProcessRecord {837258 11066:10866:busybox/u0a301}: Trimming phantom processes
09-15 21:54:44.268  3125  3213 I ActivityManager: Killing PhantomProcessRecord {cdeafb1 11068:10866:busybox/u0a301}: Trimming phantom processes
09-15 21:54:44.268  3125  3213 I ActivityManager: Killing PhantomProcessRecord {83eec96 11069:10866:busybox/u0a301}: Trimming phantom processes
09-15 21:54:44.268  3125  3213 I ActivityManager: Killing PhantomProcessRecord {e4a017 11070:10866:busybox/u0a301}: Trimming phantom processes
09-15 21:54:44.268  3125  3213 I ActivityManager: Killing PhantomProcessRecord {2e95c04 11071:10866:busybox/u0a301}: Trimming phantom processes
09-15 21:54:44.271  3125  3215 I ActivityManager: Process PhantomProcessRecord {6353de6 10999:10866:libproot.so/u0a301} died
09-15 21:54:44.271  3125  3215 I ActivityManager: Process PhantomProcessRecord {cdeafb1 11068:10866:busybox/u0a301} died
09-15 21:54:44.271  3125  3215 I ActivityManager: Process PhantomProcessRecord {b26f535 11062:10866:busybox/u0a301} died
09-15 21:54:44.271  3125  3215 I ActivityManager: Process PhantomProcessRecord {16906c3 11051:10866:busybox/u0a301} died
09-15 21:54:44.271  3125  3215 I ActivityManager: Process PhantomProcessRecord {1075272 11048:10866:busybox/u0a301} died
09-15 21:54:44.271  3125  3215 I ActivityManager: Process PhantomProcessRecord {7997b40 11052:10866:busybox/u0a301} died
09-15 21:54:44.271  3125  3215 I ActivityManager: Process PhantomProcessRecord {837258 11066:10866:busybox/u0a301} died
09-15 21:54:44.271  3125  3215 I ActivityManager: Process PhantomProcessRecord {e7ad5d4 11045:10866:busybox/u0a301} died
09-15 21:54:44.271  3125  3215 I ActivityManager: Process PhantomProcessRecord {a4abdca 11063:10866:busybox/u0a301} died
09-15 21:54:44.271  3125  3215 I ActivityManager: Process PhantomProcessRecord {d6bd37d 11046:10866:busybox/u0a301} died
09-15 21:54:44.271  3125  3215 I ActivityManager: Process PhantomProcessRecord {f3b0b6c 11061:10866:busybox/u0a301} died
09-15 21:54:44.271  3125  3215 I ActivityManager: Process PhantomProcessRecord {be28b3b 11065:10866:busybox/u0a301} died
09-15 21:54:44.271  3125  3215 I ActivityManager: Process PhantomProcessRecord {47423be 11056:10866:busybox/u0a301} died
09-15 21:54:44.271  3125  3215 I ActivityManager: Process PhantomProcessRecord {b4b4c1f 11058:10866:busybox/u0a301} died
09-15 21:54:44.271  3125  3215 I ActivityManager: Process PhantomProcessRecord {e4a017 11070:10866:busybox/u0a301} died
09-15 21:54:44.272  3125  3215 I ActivityManager: Process PhantomProcessRecord {2e95c04 11071:10866:busybox/u0a301} died
09-15 21:54:44.272  3125  3215 I ActivityManager: Process PhantomProcessRecord {36b9f27 11009:10866:busybox/u0a301} died
09-15 21:54:44.272  3125  3215 I ActivityManager: Process PhantomProcessRecord {83eec96 11069:10866:busybox/u0a301} died
09-15 21:54:44.272  3125  3215 I ActivityManager: Process PhantomProcessRecord {3672a79 11055:10866:busybox/u0a301} died
09-15 21:54:44.283  3125  3215 I ActivityManager: Process PhantomProcessRecord {b52e2cb 22042:21982:com.hypergryph.skland/u0a158} died
09-15 21:54:58.079  3125  3215 I ActivityManager: Process PhantomProcessRecord {3177ad 11377:10866:busybox/u0a301} died
