elapsed_s,wall,ps_app_uid,cgroup_phantom,app_pid,proot_pid,busybox,ams_phantom_records,guest_last
0,21:54:42,54,51,10866,10999,50,1,"[GUEST] GUEST_SPAWNED=48"
15,21:54:58,32,31,10866,none,31,31,"[PHANTOM] PROOT_EXIT=137 after 1s"
30,21:55:13,32,31,10866,none,31,31,""
45,21:55:27,32,31,10866,none,31,31,""
60,21:55:42,32,31,10866,none,31,31,""
90,21:56:12,32,31,10866,none,31,31,""
120,21:56:42,32,31,10866,none,31,31,""
150,21:57:13,32,31,10866,none,31,31,""
180,21:57:43,32,31,10866,none,31,31,""
210,21:58:13,32,31,10866,none,31,31,""
240,21:58:43,32,31,10866,none,31,31,""
270,21:59:13,32,31,10866,none,31,31,""
300,21:59:43,32,31,10866,none,31,31,""
